time,x,y,z,qw,qx,qy,qz
11441,0.221903,0.465934,-0.0778286,-0.0426366,0.0246937,-0.0164706,0.99864
11441,0.207495,0.486158,-0.0435764,0.0121119,0.0268191,0.317456,-0.947806
11441,0.232088,0.457822,-0.0705259,0.0319352,0.0242531,-0.0218145,-0.998948
11441,0.228982,0.460919,-0.0746724,-0.0457243,0.00109739,-0.00459126,0.998933
11441,0.226449,0.461319,-0.0723264,0.033307,0.0505608,-0.0653883,-0.996012
11441,0.229398,0.460311,-0.0707339,0.0454587,0.020184,-0.029878,-0.998306
11441,0.23087,0.45821,-0.0753625,-0.024773,0.00199628,-0.0149225,0.99957
11441,0.230333,0.460596,-0.0738276,-0.0375059,-0.0111868,0.00868037,0.999187
11441,0.229597,0.459922,-0.0727295,0.0426731,0.0183772,-0.0177549,-0.998753
11441,0.228779,0.460286,-0.068637,0.0572376,0.044497,-0.0639725,-0.995305
11645,0.0966604,0.420035,-0.0888359,-0.296966,0.894313,0.297495,0.153272
11646,0.129021,0.512195,-0.0261294,-0.381693,0.72592,-0.0661653,-0.56829
11646,0.147114,0.493523,-0.124356,0.145428,0.745357,-0.125954,0.638287
11646,0.137125,0.448278,-0.136185,-0.160478,0.709623,0.138942,0.671832
11646,0.227831,0.463427,-0.0720786,-0.0495882,0.0211223,-0.0168396,0.998395
11646,0.179829,0.477739,-0.141609,0.208105,0.380116,0.285162,0.854908
11646,0.0892828,0.42887,-0.140006,0.120032,0.755248,0.488537,0.420126
11646,0.218788,0.465731,-0.0728235,0.0797668,0.0342487,-0.0561486,-0.994632
11646,0.205864,0.482131,-0.08429,-0.117294,0.0785067,-0.103765,0.984526
11646,0.213252,0.469204,-0.0730005,0.0949927,0.0295897,-0.0592546,-0.993263
11646,0.219757,0.46512,-0.0683315,0.0893868,0.0573639,-0.0907708,-0.990182
11646,0.222802,0.465674,-0.073543,0.0742797,0.0280174,-0.0319159,-0.996323
11646,0.177049,0.470136,-0.0799204,-0.020929,0.202486,-0.246351,0.947551
11646,0.183797,0.512667,-0.0752629,-0.0207075,0.363802,-0.500717,0.785164
11646,0.228198,0.46317,-0.0743948,-0.0434644,0.00446904,-0.00865319,0.998998
11646,0.228797,0.462436,-0.073667,-0.0428491,-0.00493987,0.00364187,0.999053
11646,0.226329,0.462736,-0.0691812,0.0519259,0.0610472,-0.0850297,-0.99314
11646,0.228572,0.461525,-0.0716736,0.0531507,0.0295804,-0.0340297,-0.997558
11646,0.227936,0.463056,-0.074259,-0.0445518,0.00160079,-0.00594693,0.998978
11646,0.224015,0.462472,-0.0744089,0.0659297,0.0496161,-0.0504852,-0.995301
11849,0.227656,0.461516,-0.0692878,0.0717745,0.0688475,-0.0785349,-0.991928
11850,0.229595,0.460512,-0.0731719,-0.0365506,-0.0140244,0.0114673,0.999158
11850,0.22652,0.464024,-0.075135,-0.0464115,0.00219861,-0.00870514,0.998872
11850,0.225322,0.463815,-0.0747495,0.038358,0.0275072,-0.0237125,-0.998594
11928,0.223287,0.463812,-0.0722891,0.0712399,0.0239062,-0.0349449,-0.996551
11941,0.230001,0.462083,-0.0744448,-0.0244597,0.0381372,-0.03884,0.998208
11945,0.228219,0.462563,-0.0741538,-0.0315098,0.0286387,-0.0266681,0.998727
11946,0.226635,0.463488,-0.0748992,-0.0361876,0.0277129,-0.0301206,0.998497
11946,0.228628,0.462476,-0.0746201,-0.0314228,0.0209037,-0.0255559,0.998951
11946,0.22767,0.468049,-0.0797012,-0.0128706,0.0862575,-0.109,0.990199
11946,0.217315,0.466259,-0.0760315,0.0574671,0.0248654,-0.0385569,-0.997283
12002,0.219019,0.467595,-0.0800068,-0.0394364,0.0249467,-0.0164197,0.998766
12011,0.222396,0.4652,-0.0739722,0.070021,0.0343179,-0.0368831,-0.996263
12013,0.223386,0.465273,-0.0776606,-0.0368634,0.00787577,-0.00324762,0.999274
12034,0.221784,0.465747,-0.0782258,-0.0405246,0.015361,-0.0117392,0.998982
12132,0.224304,0.465323,-0.075135,-0.043375,0.00604986,-0.00486004,0.999019
12135,0.224533,0.465616,-0.0750688,-0.0446145,0.0131938,-0.013253,0.99882
12137,0.226174,0.462089,-0.0747012,-0.0363246,-0.00666308,0.00561091,0.999292
12202,0.217635,0.470488,-0.0751011,-0.00938753,0.0289398,-0.0179462,-0.999366
12215,0.223541,0.464428,-0.0771838,-0.0268772,-0.0127446,0.0270501,0.999182
12299,0.210558,0.477991,-0.0731743,-0.0765203,0.100227,-0.0465789,-0.990914
12318,0.21475,0.472905,-0.0743765,-0.0284098,0.0298198,-0.00919929,-0.999099
12374,0.221673,0.470213,-0.0713164,-0.00343385,0.0429233,-0.014446,-0.998958
12380,0.22508,0.465484,-0.0732683,-0.0552881,0.00185483,0.0112843,0.998395
12387,0.221221,0.468761,-0.0732593,-0.0272019,-0.00870186,0.0827766,0.996149
12459,0.220879,0.464183,-0.0716631,-0.0686099,-0.0466722,0.213864,0.973323
12471,0.220675,0.469436,-0.0769395,-0.0571746,-0.023321,0.0826854,0.994651
12668,0.226103,0.465538,-0.0737478,0.066023,0.0119894,0.00630262,-0.997717
12668,0.217297,0.474323,-0.0735889,-0.057404,-0.0125755,0.0617743,0.996349
12668,0.224138,0.462054,-0.0734045,0.0698116,0.0196497,0.00911731,-0.997315
12668,0.219133,0.468419,-0.0739529,0.0469925,0.00959877,0.0195901,-0.998647
12675,0.219763,0.464247,-0.0753638,0.048551,0.031,-0.00452062,-0.99832
